Training project, P, R, F1
Ant, 0.37362637362637363, 0.4, 0.38636363636363635
ArgoUML, 0.23553719008264462, 0.6705882352941176, 0.3486238532110092
Columba, 0.3333333333333333, 0.6705882352941176, 0.4453125
EMF, 0.3383458646616541, 0.5294117647058824, 0.4128440366972477
Hibernate, 0.3037383177570093, 0.7647058823529411, 0.43478260869565216
JEdit, 0.27485380116959063, 0.5529411764705883, 0.3671875
JFreeChart, 0.4424778761061947, 0.5882352941176471, 0.5050505050505051
JMeter, 0.5206611570247934, 0.7411764705882353, 0.6116504854368933
JRuby, 0.3884297520661157, 0.5529411764705883, 0.45631067961165045
SQuirrel, 0.3669724770642202, 0.47058823529411764, 0.41237113402061853
Dubbo, 0.8170731707317073, 0.788235294117647, 0.8023952095808382
Gradle, 0.19642857142857142, 0.12941176470588237, 0.15602836879432624
Groovy, 0.4594594594594595, 0.6, 0.5204081632653061
Hive, 0.5038167938931297, 0.7764705882352941, 0.611111111111111
Maven, 0.28859060402684567, 0.5058823529411764, 0.36752136752136755
Poi, 0.4, 0.7058823529411765, 0.5106382978723405
SpringFramework, 0.6436781609195402, 0.6588235294117647, 0.6511627906976745
Storm, 0.3351063829787234, 0.7411764705882353, 0.4615384615384615
Tomcat, 0.424, 0.6235294117647059, 0.5047619047619047
Zookeeper, 0.5185185185185185, 0.6588235294117647, 0.5803108808290155
