Training project, P, R, F1
Ant, 0.4796747967479675, 0.5514018691588785, 0.5130434782608695
ArgoUML, 0.2717391304347826, 0.7009345794392523, 0.391644908616188
Columba, 0.34074074074074073, 0.573208722741433, 0.4274099883855982
EMF, 0.4383561643835616, 0.6978193146417445, 0.5384615384615384
Hibernate, 0.3181818181818182, 0.67601246105919, 0.43270189431704886
JEdit, 0.3696969696969697, 0.7601246105919003, 0.4974515800203873
JFreeChart, 0.39194139194139194, 0.6666666666666666, 0.4936562860438292
JMeter, 0.39250493096646943, 0.6199376947040498, 0.48067632850241543
JRuby, 0.3591905564924115, 0.6635514018691588, 0.46608315098468267
SQuirrel, 0.39779005524861877, 0.6728971962616822, 0.5
Dubbo, 0.2944606413994169, 0.3146417445482866, 0.30421686746987947
Gradle, 0.8616071428571429, 0.6012461059190031, 0.708256880733945
Groovy, 0.38786279683377306, 0.45794392523364486, 0.42
Hive, 0.45496535796766746, 0.6137071651090342, 0.5225464190981431
Maven, 0.23670212765957446, 0.2772585669781931, 0.2553802008608321
Poi, 0.3431578947368421, 0.5077881619937694, 0.4095477386934673
SpringFramework, 0.5414201183431953, 0.5700934579439252, 0.5553869499241275
Storm, 0.458628841607565, 0.6043613707165109, 0.521505376344086
Tomcat, 0.4317073170731707, 0.5514018691588785, 0.4842681258549932
Zookeeper, 0.43799472295514513, 0.5171339563862928, 0.47428571428571425
