Training project, P, R, F1
Ant, 0.48348348348348347, 0.6465863453815262, 0.5532646048109965
ArgoUML, 0.22510231923601637, 0.6626506024096386, 0.33604887983706716
Columba, 0.29248366013071897, 0.7188755020080321, 0.41579558652729387
EMF, 0.48166259168704156, 0.7911646586345381, 0.5987841945288754
Hibernate, 0.3872832369942196, 0.8072289156626506, 0.5234375
JEdit, 0.36162361623616235, 0.7871485943775101, 0.49557522123893805
JFreeChart, 0.3898678414096916, 0.7108433734939759, 0.5035561877667141
JMeter, 0.3941908713692946, 0.7630522088353414, 0.5198358413132694
JRuby, 0.37649402390438247, 0.7590361445783133, 0.5033288948069241
SQuirrel, 0.39363817097415504, 0.7951807228915663, 0.526595744680851
Dubbo, 0.33055555555555555, 0.4779116465863454, 0.39080459770114945
Gradle, 0.23711340206185566, 0.18473895582329317, 0.2076749435665914
Groovy, 0.6877192982456141, 0.7871485943775101, 0.7340823970037453
Hive, 0.3964757709251101, 0.7228915662650602, 0.5120910384068279
Maven, 0.16559139784946236, 0.3092369477911647, 0.21568627450980393
Poi, 0.39847715736040606, 0.6305220883534136, 0.4883359253499222
SpringFramework, 0.6293706293706294, 0.7228915662650602, 0.6728971962616823
Storm, 0.43237250554323725, 0.7831325301204819, 0.5571428571428572
Tomcat, 0.4207650273224044, 0.6184738955823293, 0.5008130081300813
Zookeeper, 0.4381188118811881, 0.7108433734939759, 0.5421133231240429
