Training project, P, R, F1
Ant, 0.2619047619047619, 0.43564356435643564, 0.3271375464684015
ArgoUML, 0.209366391184573, 0.7524752475247525, 0.3275862068965517
Columba, 0.3377777777777778, 0.7524752475247525, 0.4662576687116565
EMF, 0.5463917525773195, 0.5247524752475248, 0.5353535353535354
Hibernate, 0.3684210526315789, 0.7623762376237624, 0.4967741935483871
JEdit, 0.29081632653061223, 0.5643564356435643, 0.38383838383838387
JFreeChart, 0.6176470588235294, 0.8316831683168316, 0.708860759493671
JMeter, 0.40540540540540543, 0.7425742574257426, 0.5244755244755245
JRuby, 0.39690721649484534, 0.7623762376237624, 0.5220338983050847
SQuirrel, 0.24561403508771928, 0.5544554455445545, 0.34042553191489366
Dubbo, 0.32919254658385094, 0.5247524752475248, 0.40458015267175573
Gradle, 0.34375, 0.21782178217821782, 0.26666666666666666
Groovy, 0.35625, 0.5643564356435643, 0.43678160919540227
Hive, 0.281786941580756, 0.8118811881188119, 0.4183673469387755
Maven, 0.24864864864864866, 0.45544554455445546, 0.32167832167832167
Poi, 0.4339622641509434, 0.6831683168316832, 0.5307692307692308
SpringFramework, 0.6178861788617886, 0.7524752475247525, 0.6785714285714286
Storm, 0.2568493150684932, 0.7425742574257426, 0.3816793893129772
Tomcat, 0.24324324324324326, 0.7128712871287128, 0.36272040302267006
Zookeeper, 0.3671497584541063, 0.7524752475247525, 0.49350649350649345
