Training project, P, R, F1
Ant, 0.6736842105263158, 0.6808510638297872, 0.6772486772486772
ArgoUML, 0.296583850931677, 0.6773049645390071, 0.4125269978401727
Columba, 0.4360086767895879, 0.7127659574468085, 0.541049798115747
EMF, 0.4773218142548596, 0.7836879432624113, 0.5932885906040268
Hibernate, 0.4607218683651805, 0.7695035460992907, 0.5763612217795485
JEdit, 0.5220588235294118, 0.7553191489361702, 0.6173913043478261
JFreeChart, 0.5116279069767442, 0.7021276595744681, 0.5919282511210763
JMeter, 0.8362369337979094, 0.851063829787234, 0.843585237258348
JRuby, 0.4771084337349398, 0.7021276595744681, 0.5681492109038737
SQuirrel, 0.481651376146789, 0.7446808510638298, 0.5849582172701949
Dubbo, 0.41025641025641024, 0.3971631205673759, 0.4036036036036036
Gradle, 0.3557692307692308, 0.2624113475177305, 0.30204081632653057
Groovy, 0.599250936329588, 0.5673758865248227, 0.5828779599271403
Hive, 0.5483870967741935, 0.723404255319149, 0.6238532110091743
Maven, 0.27972027972027974, 0.28368794326241137, 0.28169014084507044
Poi, 0.5370370370370371, 0.6170212765957447, 0.5742574257425743
SpringFramework, 0.8106995884773662, 0.6985815602836879, 0.7504761904761903
Storm, 0.491725768321513, 0.7375886524822695, 0.5900709219858156
Tomcat, 0.613013698630137, 0.6347517730496454, 0.6236933797909407
Zookeeper, 0.6948529411764706, 0.6702127659574468, 0.6823104693140793
