Training project, P, R, F1
Ant, 0.5245901639344263, 0.47058823529411764, 0.49612403100775193
ArgoUML, 0.3358208955223881, 0.6617647058823529, 0.44554455445544555
Columba, 0.4915254237288136, 0.6397058823529411, 0.5559105431309904
EMF, 0.526595744680851, 0.7279411764705882, 0.6111111111111112
Hibernate, 0.4304932735426009, 0.7058823529411765, 0.5348189415041783
JEdit, 0.48, 0.7058823529411765, 0.5714285714285713
JFreeChart, 0.5212121212121212, 0.6323529411764706, 0.5714285714285714
JMeter, 0.5393939393939394, 0.6544117647058824, 0.5913621262458473
JRuby, 0.44339622641509435, 0.6911764705882353, 0.5402298850574713
SQuirrel, 0.5491329479768786, 0.6985294117647058, 0.6148867313915857
Dubbo, 0.3732394366197183, 0.3897058823529412, 0.381294964028777
Gradle, 0.38461538461538464, 0.25735294117647056, 0.30837004405286345
Groovy, 0.5043478260869565, 0.4264705882352941, 0.46215139442231074
Hive, 0.5093167701863354, 0.6029411764705882, 0.5521885521885521
Maven, 0.9042553191489362, 0.625, 0.7391304347826086
Poi, 0.5, 0.6102941176470589, 0.5496688741721855
SpringFramework, 0.5851851851851851, 0.5808823529411765, 0.5830258302583026
Storm, 0.5796178343949044, 0.6691176470588235, 0.621160409556314
Tomcat, 0.4494949494949495, 0.6544117647058824, 0.5329341317365269
Zookeeper, 0.5891472868217055, 0.5588235294117647, 0.5735849056603775
