Training project, P, R, F1
Ant, 0.3565536205316224, 0.6294498381877023, 0.45523698069046226
ArgoUML, 0.2000937207122774, 0.6909385113268608, 0.31031976744186046
Columba, 0.33403805496828753, 0.7669902912621359, 0.4653902798232696
EMF, 0.4782608695652174, 0.7475728155339806, 0.5833333333333333
Hibernate, 0.28494301139772044, 0.7686084142394822, 0.41575492341356673
JEdit, 0.2750455373406193, 0.7330097087378641, 0.39999999999999997
JFreeChart, 0.3150074294205052, 0.686084142394822, 0.43177189409368627
JMeter, 0.29060838747784995, 0.7961165048543689, 0.4257897014279533
JRuby, 0.2985170857511283, 0.7491909385113269, 0.42692485016136467
SQuirrel, 0.2577727529677784, 0.7378640776699029, 0.382069543359866
Dubbo, 0.25732899022801303, 0.511326860841424, 0.3423618634886241
Gradle, 0.22003577817531306, 0.19902912621359223, 0.2090059473237043
Groovy, 0.42874692874692877, 0.5647249190938511, 0.48743016759776536
Hive, 0.3765281173594132, 0.7475728155339806, 0.5008130081300813
Maven, 0.15595757953836556, 0.4045307443365696, 0.22512381809995496
Poi, 0.6823979591836735, 0.8656957928802589, 0.7631954350927248
SpringFramework, 0.568922305764411, 0.7346278317152104, 0.6412429378531074
Storm, 0.34221598877980364, 0.7896440129449838, 0.47749510763209385
Tomcat, 0.38189655172413794, 0.7168284789644013, 0.49831271091113605
Zookeeper, 0.5610640870616687, 0.7508090614886731, 0.6422145328719723
