Training project, P, R, F1
Ant, 0.5051546391752577, 0.48756218905472637, 0.4962025316455696
ArgoUML, 0.20516962843295639, 0.6318407960199005, 0.30975609756097566
Columba, 0.28641975308641976, 0.5771144278606966, 0.3828382838283828
EMF, 0.48014440433212996, 0.6616915422885572, 0.5564853556485355
Hibernate, 0.353099730458221, 0.6517412935323383, 0.458041958041958
JEdit, 0.31839622641509435, 0.6716417910447762, 0.432
JFreeChart, 0.4349315068493151, 0.6318407960199005, 0.515212981744422
JMeter, 0.4362934362934363, 0.5621890547263682, 0.49130434782608695
JRuby, 0.38235294117647056, 0.582089552238806, 0.4615384615384615
SQuirrel, 0.6628352490421456, 0.8606965174129353, 0.7489177489177489
Dubbo, 0.3153526970954357, 0.3781094527363184, 0.34389140271493207
Gradle, 0.21739130434782608, 0.22388059701492538, 0.22058823529411764
Groovy, 0.37554585152838427, 0.42786069651741293, 0.39999999999999997
Hive, 0.49122807017543857, 0.5572139303482587, 0.5221445221445221
Maven, 0.17287234042553193, 0.32338308457711445, 0.22530329289428078
Poi, 0.35185185185185186, 0.472636815920398, 0.40339702760084933
SpringFramework, 0.6589595375722543, 0.5671641791044776, 0.6096256684491979
Storm, 0.37650602409638556, 0.6218905472636815, 0.46904315196998125
Tomcat, 0.276536312849162, 0.4925373134328358, 0.3542039355992844
Zookeeper, 0.4975845410628019, 0.5124378109452736, 0.5049019607843138
