Training project, P, R, F1
Ant, 0.671875, 0.4215686274509804, 0.5180722891566265
ArgoUML, 0.8229988726042841, 0.7533539731682146, 0.7866379310344828
Columba, 0.8823529411764706, 0.8203125, 0.8502024291497975
EMF, 0.8, 0.43243243243243246, 0.5614035087719298
Hibernate, 0.9024390243902439, 0.6870026525198939, 0.7801204819277109
JEdit, 0.8309859154929577, 0.30256410256410254, 0.4436090225563909
JFreeChart, 0.6754385964912281, 0.7623762376237624, 0.7162790697674419
JMeter, 0.9, 0.7340425531914894, 0.8085937499999999
JRuby, 0.8864265927977839, 0.835509138381201, 0.8602150537634409
SQuirrel, 0.8297872340425532, 0.582089552238806, 0.6842105263157895
Dubbo, 0.725, 0.6823529411764706, 0.7030303030303031
Gradle, 0.6464968152866242, 0.632398753894081, 0.6393700787401575
Groovy, 0.697841726618705, 0.7791164658634538, 0.7362428842504745
Hive, 0.7225077081192189, 0.6720841300191205, 0.6963843486874691
Maven, 0.7024793388429752, 0.625, 0.6614785992217899
Poi, 0.7905511811023622, 0.8122977346278317, 0.8012769353551477
SpringFramework, 0.5689655172413793, 0.673469387755102, 0.6168224299065421
Storm, 0.7605633802816901, 0.5869565217391305, 0.6625766871165645
Tomcat, 0.6507352941176471, 0.6167247386759582, 0.6332737030411448
Zookeeper, 0.6666666666666666, 0.47619047619047616, 0.5555555555555556
