@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'todo this should not using the default charset because its not input and might introduce flakiness ',positive
'todo make this work with pending elements ',positive
'the dsl for declaring plugins inject into included build todo plugins need located this builds buildsrc since ',positive
'todo some kind context why the method was attached which plugin declared the rule todo some kind instance state for the method might the same context above ',positive
'todo need track symbol strip tool ',positive
'todo move baseservices once the progresslogger dependency removed ',positive
'return dummy implementation this creating real hasher drags more services along with and hasher isnt actually needed the worker process side the moment ',positive
'theres risk for some methods that the hash always recomputed but wont worse than before ',positive
'this isnt quite right should close the worker classpath cache once were finished with the worker processes this may before the end this build they may used across multiple builds ',positive
'todo need better mechanism wire tasks into lifecycle ',positive
'todocedric this not quite right assume that are asking for specific binary then resolve the assembly instead the jar but should somehow parameterized ',positive
'ensure that most one action that may have access the mutable state the build runs given time todo move this better home and reuse ',positive
'todoew inject instead static use ',positive
'todohh use managed views for this only applied when the respective language applied ',positive
'todo there has simpler way this want create buildable filecollection based filtered view selected source directory sets ',positive
'passing null for sha todo consider using the etag which hash the file when less than ',positive
'todoadam need this earlier ',positive
'todo exception when default type ',positive
'dont force evaluation rules here let the task container what needs ',positive
'result scalautileither right seq files that were generated left routes compilation errors todo might nice pass along these errors some way ',positive
'todo deleteonexit wont clean nonempty directories and leaks memory for longrunning processes ',positive
'metainfo about java component todo this some legacy stuff merged into other component interfaces ',positive
'todo need track symbol extraction tool ',positive
'todo this should modeled differently perhaps dependency the implementation configuration ',positive
'this not super nice but dependencies are created through reflection for decoration and assume constructor with arguments group name version which suitable for most cases could create empty attribute set directly the but then wouldnt mutable therefore proceed with late injection the attributes ',positive
'todoew consider whether this belongs console here ',positive
'todo should split this that the inputs are attached object that represents the binary which then later used configure the linkassemble tasks ',positive
'need wrap this into loop because theres always risk that the method which weakly referenced has been collected between the creation time and now ',positive
'tododaniel should support better way multi file invocation ',positive
'its true right now that this always coming from the testkit but might not the future ',positive
'todo dont select again here the selection already performed select the toolchain ',positive
'todo include link documentation giving more explanation whats going here ',positive
'todo migrate this away from here ',positive
'this looks ugly very ugly but that apparently what ant does itself ',positive
'todo should incremental ',positive
'todo this terrible ',positive
'todo this should actually routable message with single handler but need some way correlate given request with specific response channel ',positive
'todo this pretty nasty look avoiding using time bomb stub here ',positive
'todorbo change the parameter type transformerstring nullable string once migrate java ',positive
'todo make this work windows originalinclose ',positive
'todo better exception type ',positive
'note this would better housed scope that encapsulated the tree gradle objects ',positive
'link that can used task input property caches the matching set files during task execution and discards the result after task execution todo disallow further changes this collection once task has started todo keep the file entries snapshot later avoid stat each file during snapshot ',positive
'todo this class and executionplan have many the same behavior and concerns should look for way generalize this pattern ',positive
'remove this ',positive
'can only set once should really part the constructor can only set once should really part the constructor ',positive
'this isnt quite right may lose precision when converting double ',positive
'decimalformat not thread safe synchronize access the instance ',positive
'todo wire this stuff properly ',positive
'todoadam need cleanup completion too not used ',positive
'todo need check for proper typecast ',positive
'todo should use resolver that this method consistent with projecturistring ',positive
'todo wolfs schedule fingerprinting separately can done without having the project lock ',positive
'note dont actually remove this the deprecation here encourage people use objectfactory instead just remove the overload and the nag and leave the method here ',positive
'todo consider issues teamcity has the concept wave messages where each threadprocess uses unique wave ',positive
'todo reduce duplication with swift binary ',positive
'todo move bootclasspath platform ',positive
'todo this should modeled source set ',positive
'todo the project model should reachable from projectstate without another lookup ',positive
'todo locate this tool from tool provider hide main symbol ',positive
'todo this prefix shouldnt hardcoded ',positive
'todolptr remove projection for reference node this shouldnt needed but theres actual value referenced model report can only show the type the node this for now should use the schema instead find the type the property node instead ',positive
'todoadam switch the logging back need make sending messages from daemon client async wrt log event generation loggerdebugignoring failure extract throwable stack trace ignored ',positive
'todo need failure handling cannot clone repository ',positive
'todo this should actually compare sortedset ',positive
'todo validate that its valid model path ',positive
'the visual tools use the path find other executables todoadam restrict this the specific path for the target tool ',positive
'todopm move this warn level once fixed mavenpublish see gradlegradle ',positive
'todoadam this isnt quite right think refers the first capable classloader loading the class this could different from the loader which originally loaded which could pose equality and lifecycle issues ',positive
'todocedric this approximation when component wants compile against the assembly library not the jar then should give the stubbed classes instead the raw classes however theres such thing stubbed classes assembly for performance reasons only the classes that belong the api are stubbed would miss the classes that not belong the api this makes the usagekindapi misleading should this compile ',positive
'immutable view the variant component todo this should replace merge into outgoingvariant ',positive
'because its capability conflict resolution there only one candidate per module identifier can lenient wrt the version number used the descriptor which helps whenever the user used the convenience notation method ',positive
'todo improve lookup reusing availablejavahomes testfixture for now play safe and just return false ',positive
'todo should decorate ',positive
'todo removing this stuff from the store should handled through some sort decoration ',positive
'todo fix the way work out which exception important not always the most helpful ',positive
'todo need any factories here ',positive
'todohh this should moved back into languagenative project ',positive
'todo make this work with pending elements ',positive
'todo ultimately this should some kind party dependency thats visible dependency management ',positive
'todo these should come from somewhere else probably ',positive
'todo this should become smarter and move into the compiler infrastructure instead the task similar how the other native languages are done for now this does rudimentary incremental build analysis looking which files changed ',positive
'minimal resolver which does not use any native services used during bootstrap only you should generally use link fileresolver instead todo share more stuff with ',positive
'list instance needed here does not support serializing iterators directly ',positive
'todolptr this should added only the scan plugin applied but todolptr expects added also when the build cache enabled but not the scan plugin ',positive
'todo should set this for macos but this currently breaks xctest support for swift when swift depends libraries built gradle ',positive
'todolptr when drop java support can switch using classloadergetname instead storing our own ',positive
'todo provide abstraction for accessing resources within the same module mavenmetadata directory listing etc that way can avoid passing ivypatterns and artifactpatterns around everywhere ',positive
'remove kotlin predicate after updating the wrapper ',positive
'closes the tooling api releasing all resources blocks until completed pmay attempt expire some all daemons started this tooling api client the exact behaviour here and not guaranteed the expiration best effort only this method may return before the daemons have stoppedp pnote this not yet part the public tooling api yetp todo need model this long running operation and allow stdout stderr and progress listener supplied todo need define exceptions todo further operations are allowed after this has been called todo cancel current operations block until complete todo introduce tooling api client interface and move this method there ',positive
'todo use something more stable than cast here ',positive
'todo make this more intelligent matching the attributes the runtime usage the variant identities ',positive
'workaround for backwards compatibility previously this case would unintentionally cause the method invoked the owner continue below ',positive
'todo capitalise the target name the task name todo dont create launch target for library ',positive
'create binaries for test suites todo this should really componentbinaries rule but this point have clue what the concrete binary type everything has duplicated specific plugins see usages for example ',positive
'did already consider output after the previous execution ',positive
'todo get rid this need functionalsourceset instance here and thats surprisingly difficult get ',positive
'todo generic model related super exception ',positive
'todo this should work for any build rather than just included build ',positive
'workaround for ',positive
'todo basically dont support copying custom javadoc options ',positive
